latitude,longitude,city,country,data_source
00.00,00.00,Select a city..., ,images/background.png
52.367,4.904,Amsterdam,Netherlands,images/cities/Amsterdam.jpeg
39.933,32.859,Ankara,Turkey,images/cities/Ankara.jpg
56.134,12.945,Åstorp,Sweden,images/cities/Astorp.jpg
37.983,23.727,Athens,Greece,images/cities/Athens.webp
54.597,-5.930,Belfast,Northern Ireland,images/cities/Belfast.jpg
41.387,2.168,Barcelona,Spain,images/cities/Barcelona.jpg
52.520,13.405,Berlin,Germany,images/cities/Berlin.jpg
46.948,7.447,Bern,Switzerland,images/cities/Bern.jpeg
43.263,-2.935,Bilbao,Spain,images/cities/Bilbao.jpg
50.847,4.357,Brussels,Belgium,images/cities/Brussels.webp
47.497,19.040,Bucharest,Romania,images/cities/Bucharest.webp
59.329,18.068,Budapest,Hungary,images/cities/Budapest.jpg
51.483,-3.168,Cardiff,Wales,images/cities/Cardiff.jpg
50.937,6.96,Cologne,Germany,images/cities/Cologne.webp
55.676,12.568,Copenhagen,Denmark,images/cities/Copenhagen.jpg
51.898,-8.475,Cork,Ireland,images/cities/Cork.jpg
53.349,-6.260,Dublin,Ireland,images/cities/dublin.webp
55.953,-3.188,Edinburgh,Scotland,images/cities/Edinburgh.webp
43.7696,11.255,Florence,Italy,images/cities/Florence.jpg
50.110,8.682,Frankfurt,Germany,images/cities/Frankfurt.jpg        
43.254,6.637,French Riviera,France,images/cities/FrenchRiviera.jpg
32.650,-16.908,Funchal,Portugual,images/cities/Funchal.jpg
36.140,-5.353,Gibraltar,Gibraltar,images/cities/Gibraltar.webp
57.708,11.974,Gothenburg,Sweden,images/cities/Gothenburg.jpg     
53.548,9.987,Hamburg,Germany,images/cities/hamburg.jpeg
60.169,24.938,Helsinki,Finland,images/cities/Helsinki.jpg
39.020,1.482,Ibiza,Spain,images/cities/Ibiza.jpg
50.450,30.523,Kyiv,Ukraine,images/cities/Kyiv.jpg
61.115,10.466,Lillehammer,Norway,images/cities/Lillehammer.jpg
38.722,-9.139,Lisbon,Portugual,images/cities/Lisbon.webp
51.507,-0.127,London,England,images/cities/London.jpg
40.416,-3.703,Madrid,Spain,images/cities/Madrid.jpeg
39.695,3.017,Mallorca,Spain,images/cities/Mallorca.jpg
53.480,-2.242,Manchester,England,images/cities/Manchester.webp      
43.296,5.369,Marseille,France,images/cities/Marseille.jpg
27.760,-15.586,Maspalomas,Spain,images/cities/Maspalomas.jpg
45.464,9.190,Milan,Italy,images/cities/Milan.jpg
48.135,11.582,Munich,Germany,images/cities/Munich.jpg
40.851,14.268,Naples,Italy,images/cities/Naples.jpg
43.034,-2.417,Oñati,Spain,images/cities/Onati.jpg
59.913,10.752,Oslo,Norway,images/cities/Oslo.jpeg
48.856,2.352,Paris,France,images/cities/Paris.jpg
50.075,14.437,Prague,Czech Republic,images/cities/Prague.jpg
64.146,-21.942,Reykjavík,Iceland,images/cities/Reykjavik.webp
56.879,24.603,Riga,Latvia,images/cities/Riga.webp
41.902,12.496,Rome,Italy,images/cities/Rome.jpg
39.453,-31.127,Santa Cruz das Flores,Portugual,images/cities/SantaCruzDasFlores.jpg
28.463,-16.251,Santa Cruz de Tenerife,Spain,images/cities/santacruzdetenerife.jpg
57.273,-6.215,Skye,Scotland,images/cities/Skye.jpg
42.697,23.321,Sofia,Bulgaria,images/cities/Sofia.jpg
59.329,18.068,Stockholm,Sweden,images/cities/Stockholm.jpg
59.437,24.753,Tallinn,Estonia,images/cities/Tallinn.jpg
18.208,16.373,Vienna,Austria,images/cities/Vienna.jpeg
52.229,21.012,Warsaw,Poland,images/cities/Warsaw.jpg
53.961,-1.07,York,England,images/cities/York.jpg
47.376,8.541,Zurich,Switzerland,images/cities/Zurich.webp
56.136,53.139,Kadryakovo,Russia,images/cities/Kadryakovo.jpg
